"","CatalogNumber","RouteIdentifier","SurveyAreaIdentifier","SpeciesCode","YearCollected","MonthCollected","DayCollected","TimeCollected","DurationInHours","CollectorNumber","DecimalLatitude","DecimalLongitude","ObservationCount"
"433","167219-1-890-7","VIPQ-8","VIPQ-8","RBME","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","2"
"434","58588-1-3020-8","VIPM-2","VIPM-2","BAEA","2016","7","17","7","2","1054944","50.788406","-126.438927","26"
"435","287191-1-890-9","SCPR-1","SCPR-1","RBME","2022","3","14","10.1167","2.31667","1043283","49.816643","-124.530579","2"
"436","167158-1-1600-7","VIPQ-8","VIPQ-8","PBGR","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"437","128835-1-1560-10","VICX-12","VICX-12","COLO","2019","11","10","14.75","0.25","1080046","49.669106","-124.941109","5"
"438","151004-1-230-1","GIDE-1","GIDE-1","CAGO","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","2"
"439","107269-1-13900-9","LMVN-29","LMVN-29","AMCR","2019","5","13","15.5","1.16667","1080604","49.320057","-123.148987","13"
"440","166532-1-180-1","VIVI-35","VIVI-35","BRAN","2021","2","21","8.25","1.4","1054973","48.585434","-123.362808","4"
"441","151652-1-13900-5","LMVN-38","LMVN-38","AMCR","2020","12","13","9.25","0.666667","1080092","49.292191","-122.890572","2"
"442","149917-1-45994-4","VICX-3","VICX-3","WWSC","2020","10","12","13","2.25","1074637","49.714108","-124.873199","31"
"443","19474-1-3061-14","LMVN-8","LMVN-8","NOHA","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","1"
"444","19474-1-30508-20","LMVN-8","LMVN-8","NOPI","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","2364"
"445","151652-1-840-2","LMVN-38","LMVN-38","BAGO","2020","12","13","9.25","0.666667","1080092","49.292191","-122.890572","17"
"446","166500-1-1630-4","SCBI-6","SCBI-6","RNGR","2021","4","11","16.8667","0.766667","1055948","49.410210","-123.375122","3"
"447","167158-1-5250-13","VIPQ-8","VIPQ-8","GWGU","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","52"
"448","128835-1-890-7","VICX-12","VICX-12","RBME","2019","11","10","14.75","0.25","1080046","49.669106","-124.941109","7"
"449","167158-1-3020-19","VIPQ-8","VIPQ-8","BAEA","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","6"
"450","273337-1-2390-15","VIVI-16","VIVI-16","DCCO","2021","9","15","14.3833","2.91667","1081721","48.381138","-123.494041","2"
"451","19474-1-45581-17","LMVN-8","LMVN-8","PEFA","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","1"
"452","57354-1-410-1","LMVN-8","LMVN-8","EUWI","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","8"
"453","129086-1-5800-3","GIHO-18","GIHO-18","MAMU","2019","11","10","13.5","1.16667","1081710","49.511909","-124.601883","1"
"454","118685-1-1650-4","GIHO-4","GIHO-4","WEGR","2019","9","9","7.5","1.83333","1055051","49.543369","-124.633522","1"
"455","154105-1-5350-12","VINN-12","VINN-12","UNGU","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","360"
"456","93011-1-NoObs","LMSQ-6","LMSQ-6",NA,"2017","5","14","8.75","0.25","1054942","49.715534","-123.167679",NA
"457","167158-1-5780-10","VIPQ-8","VIPQ-8","PIGU","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"458","106260-1-2850-7","VIVI-61","VIVI-61","TUVU","2019","4","15","11","1.75","1055004","48.451252","-123.417732","1"
"459","273002-1-6110-20","SCPR-3","SCPR-3","ECDO","2021","9","12","8.78333","5.06667","1080016","49.766373","-124.340492","2"
"460","153913-1-820-1","GIGB-2","GIGB-2","BUFF","2021","1","10","12.5","-11.5","1081071","49.137474","-123.788544","9"
"461","116753-1-13900-6","NCKI-4","NCKI-4","AMCR","2019","8","12","10.9167","1","1055044","53.914066","-128.752808","14"
"462","284214-1-890-2","VINN-7","VINN-7","RBME","2022","2","13","11","0.666667","1030870","49.240520","-123.970940","10"
"463","131845-1-14010-23","GIGB-3","GIGB-3","CORA","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","1"
"464","151795-1-3020-11","VIPQ-9","VIPQ-9","BAEA","2020","12","13","11","2","1075146","49.299919","-124.155808","2"
"465","237885-1-2550-1","VIVI-59","VIVI-59","GBHE","2021","6","13","12.5","1.25","1345136","48.442577","-123.392380","3"
"466","130880-1-820-2","SCGI-5","SCGI-5","BUFF","2020","1","12","10.1667","1.5","1054970","49.412853","-123.632332","1"
"467","150425-1-830-6","VIBC-2","VIBC-2","COGO","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","20"
"468","129086-1-2420-6","GIHO-18","GIHO-18","PECO","2019","11","10","13.5","1.16667","1081710","49.511909","-124.601883","2"
"469","93010-1-2850-1","LMSQ-5","LMSQ-5","TUVU","2017","5","14","8.5","0.25","1054942","49.701885","-123.176239","1"
"470","287192-1-840-7","SCPR-1","SCPR-1","BAGO","2022","3","14","10.1167","2.31667","2388508","49.816643","-124.530579","29"
"471","151641-1-1560-13","SCPR-1","SCPR-1","COLO","2020","12","12","13","2","1043283","49.816643","-124.530579","3"
"472","290590-1-820-4","SCPR-1","SCPR-1","BUFF","2022","4","10","9.91667","1.61667","1043283","49.816643","-124.530579","15"
"473","167219-1-2390-18","VIPQ-8","VIPQ-8","DCCO","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","1"
"474","153811-1-830-2","GIGB-2","GIGB-2","COGO","2021","1","10","12.5","-11.5","1081071","49.137474","-123.788544","13"
"475","57354-1-1620-12","LMVN-8","LMVN-8","HOGR","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","18"
"476","127526-1-1630-4","SCPR-1","SCPR-1","RNGR","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","7"
"477","150365-1-820-1","GIPE-14","GIPE-14","BUFF","2020","11","8","11.9833","0.083333","1055118","48.812180","-123.273727","3"
"478","130884-1-750-1","SCGI-5","SCGI-5","HARD","2020","1","12","10.1667","1.16667","1054970","49.412853","-123.632332","1"
"479","65930-1-5190-34","VIVI-16","VIVI-16",NA,"2016","11","18","11.3333","1.66667","1054996","48.381138","-123.494041","5"
"480","149917-1-1630-7","VICX-3","VICX-3","RNGR","2020","10","12","13","2.25","1074637","49.714108","-124.873199","140"
"481","167158-1-5142-22","VIPQ-8","VIPQ-8","SHBG","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","2"
"482","159280-1-820-6","VICX-7","VICX-7","BUFF","2021","3","13","15","1.5","1054998","49.653252","-124.942177","40"
"483","290983-1-5910-14","VIVI-30","VIVI-30","RHAU","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","31"
"484","279328-2-451-2","VINN-13","VINN-13","MALL","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","2"
"485","288014-1-590-13","VIVI-16","VIVI-16","GWTE","2021","9","15","14.3833","1.95","1054996","48.381138","-123.494041","27"
"486","65930-1-41291-37","VIVI-16","VIVI-16",NA,"2016","11","18","11.3333","1.66667","1054996","48.381138","-123.494041","5"
"487","118687-1-930-3","GIHO-4","GIHO-4","UNDU","2019","9","9","7.5","1.83333","1055051","49.543369","-124.633522","1"
"488","129083-1-5800-3","GIHO-18","GIHO-18","MAMU","2019","11","10","13.5","1.16667","1081710","49.511909","-124.601883","1"
"489","131855-1-890-8","GIGB-3","GIGB-3","RBME","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","1"
"490","166488-1-1630-2","SCBI-6","SCBI-6","RNGR","2021","4","11","16.8667","0.283333","1055948","49.410210","-123.375122","3"
"491","131855-1-14010-25","GIGB-3","GIGB-3","CORA","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","1"
"492","151641-1-3020-16","SCPR-1","SCPR-1","BAEA","2020","12","12","13","2","1043283","49.816643","-124.530579","3"
"493","53840-1-1650-2","VIBM-2","VIBM-2","WEGR","2014","4","5","11.5833","0.416667","1055054","48.835426","-125.137550","5"
"494","53840-1-2550-5","VIBM-2","VIBM-2","GBHE","2014","4","5","11.5833","0.416667","1055054","48.835426","-125.137550","1"
"495","127526-1-420-1","SCPR-1","SCPR-1","AMWI","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","12"
"496","279326-2-280-1","VINN-13","VINN-13","TRUS","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","6"
"497","153811-1-890-5","GIGB-2","GIGB-2","RBME","2021","1","10","12.5","-11.5","1081071","49.137474","-123.788544","35"
"498","50607-1-420-3","LMVN-12","LMVN-12","AMWI","2012","2","13","9","2","1054976","49.165325","-123.204292","31"
"499","109449-1-14010-11","VICR-1","VICR-1","CORA","2019","6","9","9.15","1.51667","1054954","50.049923","-125.253731","1"
"500","89224-1-880-6","SCPR-2","SCPR-2","COME","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","4"
"501","290590-1-1670-7","SCPR-1","SCPR-1","UNGR","2022","4","10","9.91667","1.61667","1043283","49.816643","-124.530579","2"
"502","290589-1-3020-9","SCPR-1","SCPR-1","BAEA","2022","4","10","9.91667","1.65","2388508","49.816643","-124.530579","4"
"503","130880-1-1620-5","SCGI-5","SCGI-5","HOGR","2020","1","12","10.1667","1.5","1054970","49.412853","-123.632332","7"
"504","130880-1-2420-8","SCGI-5","SCGI-5","PECO","2020","1","12","10.1667","1.5","1054970","49.412853","-123.632332","10"
"505","279338-2-880-5","VINN-13","VINN-13","COME","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","2"
"506","279338-2-451-2","VINN-13","VINN-13","MALL","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","2"
"507","101650-1-451-2","LMSQ-12","LMSQ-12","MALL","2018","2","11","10.3667","0.2","1054942","49.691441","-123.166588","47"
"508","182396-1-3061-12","NCKI-1","NCKI-1","NOHA","2021","5","9","9.25","1.25","1054974","54.001846","-128.674377","1"
"509","182396-1-820-9","NCKI-1","NCKI-1","BUFF","2021","5","9","9.25","1.25","1054974","54.001846","-128.674377","6"
"510","149917-1-5780-10","VICX-3","VICX-3","PIGU","2020","10","12","13","2.25","1074637","49.714108","-124.873199","7"
"511","153913-1-890-4","GIGB-2","GIGB-2","RBME","2021","1","10","12.5","-11.5","1081071","49.137474","-123.788544","35"
"512","103503-1-14010-17","SCBI-11","SCBI-11","CORA","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","4"
"513","58588-1-840-2","VIPM-2","VIPM-2","BAGO","2016","7","17","7","2","1054944","50.788406","-126.438927","1"
"514","57520-1-6110-2","LMSQ-20","LMSQ-20","ECDO","2016","3","13","11.8167","0.183333","1054942","49.710426","-123.150291","3"
"515","112263-1-NoObs","LMSQ-6","LMSQ-6",NA,"2017","5","14","8.75","0.25","1054942","49.715534","-123.167679",NA
"516","93223-1-9750-4","LMSQ-19","LMSQ-19","BEKI","2017","5","14","12","0.25","1054942","49.707039","-123.144310","1"
"517","50607-1-45379-6","LMVN-12","LMVN-12","UNCO","2012","2","13","9","2","1054976","49.165325","-123.204292","4"
"518","127548-1-770-3","LMWR-2","LMWR-2","SUSC","2019","10","13","16.5833","0.916666","1054978","49.019089","-122.817352","164"
"519","101647-1-3020-9","LMSQ-12","LMSQ-12","BAEA","2018","2","11","10.3667","0.2","1054942","49.691441","-123.166588","1"
"520","182396-1-30508-7","NCKI-1","NCKI-1","NOPI","2021","5","9","9.25","1.25","1054974","54.001846","-128.674377","80"
"521","182396-1-540-4","NCKI-1","NCKI-1","NSHO","2021","5","9","9.25","1.25","1054974","54.001846","-128.674377","36"
"522","151784-1-820-4","SCPR-1","SCPR-1","BUFF","2020","12","12","13","2","1043283","49.816643","-124.530579","6"
"523","159280-1-451-3","VICX-7","VICX-7","MALL","2021","3","13","15","1.5","1054998","49.653252","-124.942177","160"
"524","93221-1-451-2","LMSQ-18","LMSQ-18","MALL","2017","5","14","11.75","0.25","1054942","49.690266","-123.155602","2"
"525","128896-1-695-3","VICX-3","VICX-3",NA,"2019","11","10","13.25","3.08333","1074637","49.714108","-124.873199","3"
"526","91560-1-451-2","LMSQ-3","LMSQ-3","MALL","2017","4","9","7.96667","0.233333","1054942","49.703907","-123.176682","4"
"527","152179-1-14010-11","GIPE-9","GIPE-9","CORA","2020","11","8","12.2833","0.883333","1055118","48.804417","-123.272995","1"
"528","112301-1-2850-5","LMSQ-18","LMSQ-18","TUVU","2017","5","14","11.75","0.25","1054942","49.690266","-123.155602","2"
"529","87911-1-4270-11","SCPR-2","SCPR-2","BLOY","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","6"
"530","112303-1-14010-6","LMSQ-19","LMSQ-19","CORA","2017","5","14","12","0.25","1054942","49.707039","-123.144310","1"
"531","144451-1-280-2","VIVI-58","VIVI-58","TRUS","2020","7","12","8.5","1.66667","1073928","48.427128","-123.467110","1"
"532","102209-1-451-2","GIHO-4","GIHO-4","MALL","2019","1","13","13.5","1.25","1055051","49.543369","-124.633522","2"
"533","32563-1-6110-7","LMSQ-19","LMSQ-19","ECDO","2014","8","10","11.55","0.233334","1054942","49.707039","-123.144310","2"
"534","151784-1-1620-7","SCPR-1","SCPR-1","HOGR","2020","12","12","13","2","1043283","49.816643","-124.530579","4"
"535","130884-1-5250-6","SCGI-5","SCGI-5","GWGU","2020","1","12","10.1667","1.16667","1054970","49.412853","-123.632332","80"
"536","130997-1-1550-8","GIGB5","GIGB5","PALO","2020","1","12","11.8333","0.666667","1079318","49.158836","-123.704597","1"
"537","130997-1-5800-5","GIGB5","GIGB5","MAMU","2020","1","12","11.8333","0.666667","1079318","49.158836","-123.704597","2"
"538","112301-1-14010-8","LMSQ-18","LMSQ-18","CORA","2017","5","14","11.75","0.25","1054942","49.690266","-123.155602","2"
"539","103504-1-5250-10","SCBI-11","SCBI-11","GWGU","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","32"
"540","103503-1-3020-14","SCBI-11","SCBI-11","BAEA","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","2"
"541","151003-1-680-3","GIDE-1","GIDE-1","GRSC","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","130"
"542","291018-1-820-5","VIVI-30","VIVI-30","BUFF","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","3"
"543","150422-1-420-1","VIBC-2","VIBC-2","AMWI","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","23"
"544","107269-1-230-1","LMVN-29","LMVN-29","CAGO","2019","5","13","15.5","1.16667","1080604","49.320057","-123.148987","13"
"545","182389-1-2550-7","VICV-7","VICV-7","GBHE","2021","5","9","17","1","1055020","48.746307","-123.625557","3"
"546","150422-1-890-7","VIBC-2","VIBC-2","RBME","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","3"
"547","106260-1-230-1","VIVI-61","VIVI-61","CAGO","2019","4","15","11","1.75","1055004","48.451252","-123.417732","6"
"548","109448-1-14010-11","VICR-1","VICR-1","CORA","2019","6","9","9.15","1.51667","1054954","50.049923","-125.253731","1"
"549","150365-1-5800-4","GIPE-14","GIPE-14","MAMU","2020","11","8","11.9833","0.083333","1055118","48.812180","-123.273727","1"
"550","103503-1-2420-11","SCBI-11","SCBI-11","PECO","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","2"
"551","150422-1-770-4","VIBC-2","VIBC-2","SUSC","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","16"
"552","93007-1-880-3","LMSQ-2","LMSQ-2","COME","2017","5","14","7.75","0.25","1054942","49.695358","-123.184853","2"
"553","182381-1-5150-3","VICV-7","VICV-7","RBGU","2021","5","9","17","1","1055020","48.746307","-123.625557","1"
"554","149937-1-5250-1","GIPE-3","GIPE-3","GWGU","2020","9","10","13.25","0.333333","1078346","48.759563","-123.207329","7"
"555","290983-1-1530-17","VIVI-30","VIVI-30","RTLO","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","1"
"556","291018-1-451-2","VIVI-30","VIVI-30","MALL","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","3"
"557","152177-1-820-1","GIPE-14","GIPE-14","BUFF","2020","11","8","11.9833","0.133333","1055118","48.812180","-123.273727","3"
"558","128314-1-2550-13","SCPR-1","SCPR-1","GBHE","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","1"
"559","116753-1-5142-3","NCKI-4","NCKI-4","SHBG","2019","8","12","10.9167","1","1055044","53.914066","-128.752808","1"
"560","132637-1-230-1","LMWR-2","LMWR-2","CAGO","2019","10","13","16.5833","0.916666","1054979","49.019089","-122.817352","63"
"561","50607-1-13900-12","LMVN-12","LMVN-12","AMCR","2012","2","13","9","2","1054976","49.165325","-123.204292","13"
"562","112303-1-9750-4","LMSQ-19","LMSQ-19","BEKI","2017","5","14","12","0.25","1054942","49.707039","-123.144310","1"
"563","128314-1-5350-10","SCPR-1","SCPR-1","UNGU","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","7"
"564","291018-1-890-8","VIVI-30","VIVI-30","RBME","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","2"
"565","151795-1-180-1","VIPQ-9","VIPQ-9","BRAN","2020","12","13","11","2","1075146","49.299919","-124.155808","3"
"566","182388-1-540-3","NCKI-1","NCKI-1","NSHO","2021","5","9","9.25","1.25","1054974","54.001846","-128.674377","36"
"567","103504-1-13900-16","SCBI-11","SCBI-11","AMCR","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","7"
"568","103504-1-2550-13","SCBI-11","SCBI-11","GBHE","2019","2","9","8.5","1.5","1074594","49.360050","-123.432533","1"
"569","129086-1-750-1","GIHO-18","GIHO-18","HARD","2019","11","10","13.5","1.16667","1081710","49.511909","-124.601883","12"
"570","130872-1-840-7","GISS-1","GISS-1","BAGO","2020","1","11","13.75","2","1055037","48.836075","-123.451881","2"
"571","130872-1-270-1","GISS-1","GISS-1","MUSW","2020","1","11","13.75","2","1055037","48.836075","-123.451881","2"
"572","159280-1-420-2","VICX-7","VICX-7","AMWI","2021","3","13","15","1.5","1054998","49.653252","-124.942177","170"
"573","151785-1-820-3","VIPQ-9","VIPQ-9","BUFF","2020","12","13","11","2","1075146","49.299919","-124.155808","6"
"574","131845-1-890-6","GIGB-3","GIGB-3","RBME","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","1"
"575","182381-1-2390-6","VICV-7","VICV-7","DCCO","2021","5","9","17","1","1055020","48.746307","-123.625557","9"
"576","279326-2-5250-7","VINN-13","VINN-13","GWGU","2021","12","12",NA,NA,"1080859","49.145134","-123.916481","1"
"577","131845-1-4270-9","GIGB-3","GIGB-3","BLOY","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","6"
"578","87911-1-5160-14","SCPR-2","SCPR-2","CAGU","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","35"
"579","290983-1-2420-20","VIVI-30","VIVI-30","PECO","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","23"
"580","91560-1-2550-5","LMSQ-3","LMSQ-3","GBHE","2017","4","9","7.96667","0.233333","1054942","49.703907","-123.176682","3"
"581","89224-1-2420-9","SCPR-2","SCPR-2","PECO","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","1"
"582","151795-1-880-5","VIPQ-9","VIPQ-9","COME","2020","12","13","11","2","1075146","49.299919","-124.155808","2"
"583","150422-1-830-6","VIBC-2","VIBC-2","COGO","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","20"
"584","130997-1-451-1","GIGB5","GIGB5","MALL","2020","1","12","11.8333","0.666667","1079318","49.158836","-123.704597","14"
"585","131845-1-4650-12","GIGB-3","GIGB-3","SURF","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","62"
"586","130872-1-770-4","GISS-1","GISS-1","SUSC","2020","1","11","13.75","2","1055037","48.836075","-123.451881","45"
"587","290983-1-890-8","VIVI-30","VIVI-30","RBME","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","2"
"588","87911-1-13900-19","SCPR-2","SCPR-2","AMCR","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","4"
"589","130872-1-750-3","GISS-1","GISS-1","HARD","2020","1","11","13.75","2","1055037","48.836075","-123.451881","2"
"590","109449-1-5250-5","VICR-1","VICR-1","GWGU","2019","6","9","9.15","1.51667","1054954","50.049923","-125.253731","29"
"591","167219-1-880-6","VIPQ-8","VIPQ-8","COME","2021","4","11","9.05","2.8","1054938","49.310249","-124.204018","13"
"592","290983-1-4640-11","VIVI-30","VIVI-30","BLTU","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","2"
"593","96961-1-7440-13","VIPQ-2","VIPQ-2","GHOW","2018","8","13","8.15","2.08333","1054938","49.319042","-124.252357","1"
"594","290590-1-1620-6","SCPR-1","SCPR-1","HOGR","2022","4","10","9.91667","1.61667","1043283","49.816643","-124.530579","5"
"595","287191-1-13900-17","SCPR-1","SCPR-1","AMCR","2022","3","14","10.1167","2.31667","1043283","49.816643","-124.530579","48"
"596","151641-1-4640-10","SCPR-1","SCPR-1","BLTU","2020","12","12","13","2","1043283","49.816643","-124.530579","1"
"597","151003-1-230-1","GIDE-1","GIDE-1","CAGO","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","2"
"598","151003-1-770-4","GIDE-1","GIDE-1","SUSC","2020","11","8","13.5","2.5","1055659","49.610195","-124.845947","20"
"599","131734-1-5142-3","NCKI-4","NCKI-4","SHBG","2019","8","12","10.9167","1","1055044","53.914066","-128.752808","1"
"600","130971-1-880-9","GISS-1","GISS-1","COME","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","3"
"601","150425-1-9750-14","VIBC-2","VIBC-2","BEKI","2020","11","8","11","0.833333","1054991","49.871754","-125.108597","1"
"602","128314-1-5250-9","SCPR-1","SCPR-1","GWGU","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","11"
"603","290590-1-750-3","SCPR-1","SCPR-1","HARD","2022","4","10","9.91667","1.61667","1043283","49.816643","-124.530579","28"
"604","58589-1-3020-8","VIPM-2","VIPM-2","BAEA","2016","7","17","7","2","1054944","50.788406","-126.438927","26"
"605","150365-1-1620-3","GIPE-14","GIPE-14","HOGR","2020","11","8","11.9833","0.083333","1055118","48.812180","-123.273727","1"
"606","291018-1-45994-4","VIVI-30","VIVI-30","WWSC","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","4"
"607","159212-1-451-3","VICX-7","VICX-7","MALL","2021","3","13","15","1.5","1054998","49.653252","-124.942177","160"
"608","58589-1-4650-9","VIPM-2","VIPM-2","SURF","2016","7","17","7","2","1054944","50.788406","-126.438927","1"
"609","93007-1-820-2","LMSQ-2","LMSQ-2","BUFF","2017","5","14","7.75","0.25","1054942","49.695358","-123.184853","2"
"610","130971-1-4270-12","GISS-1","GISS-1","BLOY","2020","1","11","13.75","2.08333","1055037","48.836075","-123.451881","2"
"611","58589-1-5250-12","VIPM-2","VIPM-2","GWGU","2016","7","17","7","2","1054944","50.788406","-126.438927","306"
"612","106839-1-820-2","LMSQ-1","LMSQ-1","BUFF","2017","5","14","7.5","0.216667","1054942","49.679691","-123.172699","2"
"613","106839-1-5500-5","LMSQ-1","LMSQ-1","CATE","2017","5","14","7.5","0.216667","1054942","49.679691","-123.172699","15"
"614","131734-1-13900-6","NCKI-4","NCKI-4","AMCR","2019","8","12","10.9167","1","1055044","53.914066","-128.752808","14"
"615","182751-1-7440-10","VIPQ-2","VIPQ-2","GHOW","2021","5","10","9.1","2.38333","1054938","49.319042","-124.252357","4"
"616","288014-1-9750-22","VIVI-16","VIVI-16","BEKI","2021","9","15","14.3833","1.95","1054996","48.381138","-123.494041","2"
"617","287192-1-890-9","SCPR-1","SCPR-1","RBME","2022","3","14","10.1167","2.31667","2388508","49.816643","-124.530579","2"
"618","154088-1-13900-14","VINN-12","VINN-12","AMCR","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","6"
"619","101650-1-820-5","LMSQ-12","LMSQ-12","BUFF","2018","2","11","10.3667","0.2","1054942","49.691441","-123.166588","5"
"620","131845-1-1630-8","GIGB-3","GIGB-3","RNGR","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","1"
"621","291018-1-230-1","VIVI-30","VIVI-30","CAGO","2022","4","11","13.5","2.41667","1055022","48.483002","-123.292068","2"
"622","287192-1-820-6","SCPR-1","SCPR-1","BUFF","2022","3","14","10.1167","2.31667","2388508","49.816643","-124.530579","62"
"623","154088-1-5250-11","VINN-12","VINN-12","GWGU","2021","1","13","14","2.16667","1054924","49.174129","-123.927429","13"
"624","144451-1-230-1","VIVI-58","VIVI-58","CAGO","2020","7","12","8.5","1.66667","1073928","48.427128","-123.467110","432"
"625","166532-1-810-3","VIVI-35","VIVI-35","LTDU","2021","2","21","8.25","1.4","1054973","48.585434","-123.362808","4"
"626","112301-1-13900-7","LMSQ-18","LMSQ-18","AMCR","2017","5","14","11.75","0.25","1054942","49.690266","-123.155602","10"
"627","287191-1-5142-15","SCPR-1","SCPR-1","SHBG","2022","3","14","10.1167","2.31667","1043283","49.816643","-124.530579","6"
"628","128314-1-2390-12","SCPR-1","SCPR-1","DCCO","2019","10","13","13.5","2.25","1043283","49.816643","-124.530579","5"
"629","87911-1-1560-8","SCPR-2","SCPR-2","COLO","2018","4","2","9.25","1.25","1055010","49.883270","-124.596550","1"
"630","288014-1-14010-25","VIVI-16","VIVI-16","CORA","2021","9","15","14.3833","1.95","1054996","48.381138","-123.494041","3"
"631","152179-1-5142-8","GIPE-9","GIPE-9","SHBG","2020","11","8","12.2833","0.883333","1055118","48.804417","-123.272995","2"
"632","106276-1-3020-8","VIPH-1","VIPH-1","BAEA","2019","4","15","10.25","1.25","1032711","50.726246","-127.483253","4"
"633","131852-1-820-2","GIHO-10","GIHO-10","BUFF","2020","2","9","9.25","0.333333","1054964","49.498619","-124.677040","4"
"634","131852-1-5350-5","GIHO-10","GIHO-10","UNGU","2020","2","9","9.25","0.333333","1054964","49.498619","-124.677040","6"
"635","40326-1-420-1","LMVN-67","LMVN-67","AMWI","2004","10","10","14.1667","0.5","1030747","49.271713","-123.197548","6"
"636","45972-1-45379-12","VICX-3","VICX-3","UNCO","2008","11","9","11","2","1078227","49.714108","-124.873199","13"
"637","57354-1-45379-15","LMVN-8","LMVN-8","UNCO","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","40"
"638","106841-1-230-1","LMSQ-3","LMSQ-3","CAGO","2017","5","14","8","0.216666","1053929","49.703907","-123.176682","11"
"639","153811-1-820-1","GIGB-2","GIGB-2","BUFF","2021","1","10","12.5","-11.5","1081071","49.137474","-123.788544","9"
"640","273337-1-3580-20","VIVI-16","VIVI-16","MERL","2021","9","15","14.3833","2.91667","1081721","48.381138","-123.494041","1"
"641","91563-1-590-3","LMSQ-3","LMSQ-3","GWTE","2017","4","9","7.96667","0.233333","1054942","49.703907","-123.176682","2"
"642","91563-1-230-1","LMSQ-3","LMSQ-3","CAGO","2017","4","9","7.96667","0.233333","1054942","49.703907","-123.176682","9"
"643","19474-1-45994-11","LMVN-8","LMVN-8","WWSC","2015","9","12","8.41667","2.16667","1054930","49.036324","-123.136032","10"
"644","93005-1-1530-1","LMSQ-1","LMSQ-1","RTLO","2017","5","14","7.5","0.25","1054942","49.679691","-123.172699","1"
"645","131845-1-880-5","GIGB-3","GIGB-3","COME","2020","2","11","9.5","1.75","1078288","49.206257","-123.825882","13"
"646","45972-1-13900-16","VICX-3","VICX-3","AMCR","2008","11","9","11","2","1078227","49.714108","-124.873199","2"
"647","93005-1-880-4","LMSQ-1","LMSQ-1","COME","2017","5","14","7.5","0.25","1054942","49.679691","-123.172699","4"
"648","45970-1-1560-8","VICX-3","VICX-3","COLO","2008","11","9","11","2","1054987","49.714108","-124.873199","7"
